ID,Year,Month,Foot,Bicycle,Total,Other trans,route_id
201506,2015,6,31442,4431,35923,50,138
201507,2015,7,41161,3589,44794,44,139
201508,2015,8,49194,5500,54794,100,140
201509,2015,9,33588,3802,37429,39,141
201510,2015,10,23785,1740,25576,51,142
201511,2015,11,4923,299,5228,6,143
201512,2015,12,1911,149,2062,2,144
201601,2016,1,1274,30,1304,0,145
201602,2016,2,1648,85,1733,0,146
201603,2016,3,10348,698,11067,21,147
201604,2016,4,13854,1215,15100,31,148
201605,2016,5,29790,2920,32776,66,149
201606,2016,6,34758,4231,39070,81,150
201607,2016,7,42047,3379,45471,45,151
201608,2016,8,48661,4967,53704,76,152
201609,2016,9,36557,3538,40149,54,153
201610,2016,10,26341,1819,28222,62,154
201611,2016,11,6061,324,6394,9,155
201612,2016,12,2686,141,2864,37,156
201701,2017,1,1299,53,1354,2,157
201702,2017,2,1639,57,1696,0,158
201703,2017,3,4902,262,5176,12,159
201704,2017,4,24845,2004,26925,76,160
201705,2017,5,32377,2907,35347,63,161
201706,2017,6,37928,3631,41619,60,162
201707,2017,7,44036,3272,47470,162,163
201708,2017,8,53349,4199,57680,132,164
201709,2017,9,38938,3203,42189,48,165
201710,2017,10,29442,1848,31341,51,166
201711,2017,11,7009,334,7346,3,167
201712,2017,12,2726,163,2893,4,168
201801,2018,1,1576,51,1627,0,169
201802,2018,2,2081,96,2181,4,170
201803,2018,3,10720,332,11056,4,171
201804,2018,4,20795,1227,22068,46,172
201805,2018,5,37689,2923,40665,53,173
201806,2018,6,41857,3789,45685,39,174
201807,2018,7,48035,2720,50867,112,175
201808,2018,8,56421,3883,60415,111,176
201809,2018,9,43645,3299,47006,62,177
201810,2018,10,33489,2045,35602,68,178
201811,2018,11,7300,331,7651,20,179
201812,2018,12,2455,90,2553,8,180
201901,2019,1,1599,51,1651,1,181
201902,2019,2,2063,55,2119,1,182
201903,2019,3,7118,329,7474,27,183
201904,2019,4,30113,1543,31722,66,184
